algorithm,param_name,param_value,mean_rmse,std_rmse
simple_memory,alpha,0.0,1.0230015777416113,0.00591508654521457
simple_memory,alpha,0.1,1.0068543384361701,0.006446511150485256
simple_memory,alpha,0.2,0.9945921073383701,0.007010833986970925
simple_memory,alpha,0.3,0.9863599205448947,0.007583519697195729
simple_memory,alpha,0.4,0.9822592609870888,0.008144513792515838
simple_memory,alpha,0.5,0.9823420290312471,0.008678051982697506
simple_memory,alpha,0.6,0.9866073251812782,0.00917243641804822
simple_memory,alpha,0.7,0.995001497253855,0.009619806322256062
simple_memory,alpha,0.8,1.0074214465288418,0.010015848483911878
simple_memory,alpha,0.9,1.0237207305904494,0.010359404357019198
simple_memory,alpha,1.0,1.0437176561595025,0.010651971107865537
slope_one,shrink,0.0,0.9475469086380557,0.0057444116211424895
slope_one,shrink,5.0,0.9452077814614226,0.005533036259944448
slope_one,shrink,10.0,0.9445506509486226,0.005547076717320795
slope_one,shrink,25.0,0.9437065085753439,0.005595030258619756
slope_one,shrink,50.0,0.9431509413462926,0.005636091899299419
slope_one,shrink,75.0,0.9428774945723642,0.00565616019560077
slope_one,shrink,100.0,0.9427115738328464,0.005667475627576523
slope_one,shrink,150.0,0.9425176056139823,0.005679547611185212
simple_model,reg,1e-07,0.9693774487691342,0.006063806389787523
simple_model,reg,1e-05,0.9693773395685816,0.006063814867228292
simple_model,reg,0.001,0.969366430186219,0.006064661963438016
simple_model,reg,0.1,0.9683711897959526,0.006143473808066552
simple_model,reg,1.0,0.9634428581682473,0.006595094640561747
simple_model,reg,5.0,0.9577401403663025,0.007459797086502906
simple_model,reg,10.0,0.9569274856961627,0.007967893018188158
simple_model,reg,25.0,0.9618578795389032,0.008750738516428203
svd,n_factors,5.0,0.9282386051767165,0.007670635311355814
svd,n_factors,10.0,0.922177490820508,0.0060863990068142195
svd,n_factors,20.0,0.9176243584316864,0.006477770061060421
svd,n_factors,30.0,0.9158516279795155,0.006289200409320295
svd,n_factors,50.0,0.9131341097988589,0.005428396777344819
svd,n_factors,75.0,0.9125275380619533,0.005540317416717567
svd,n_factors,100.0,0.9107604747969287,0.006104355321730487
bpr,n_factors,5.0,2.4024604852827913,0.023178326301552473
bpr,n_factors,10.0,2.3951192021699854,0.02642435939830212
bpr,n_factors,20.0,2.394258634078612,0.026369735498445124
bpr,n_factors,30.0,2.381640142565976,0.028264756839508104
bpr,n_factors,50.0,2.376309844607529,0.03010810742187509
bpr,n_factors,75.0,2.3647869602307736,0.029997801236557063
bpr,n_factors,100.0,2.3565792332114985,0.030944912039874782
fm,n_factors,5.0,0.9324524488689561,0.008208750676701503
fm,n_factors,10.0,0.9290214669089668,0.008704208825363234
fm,n_factors,15.0,0.9211578362286893,0.005177806066962729
fm,n_factors,20.0,0.9242588332433203,0.0072888947949506944
fm,n_factors,30.0,0.9220445583916549,0.0073554713046612525
fm,n_factors,50.0,0.9173654655106471,0.0061834416678325215
