algorithm,RMSE,MAE,Precision@10,Recall@10,NDCG@10,MAP@10
simple_memory,0.9953290997804477,0.8036315803536358,0.08282078472958641,0.1483714588698682,0.1320462679861148,0.0641662154630518
user_based,0.9591350477959673,0.7499652958214279,0.0015906680805938495,0.0034094160817384573,0.001681184503281777,0.00039136419659572717
item_based,0.9559048323040916,0.7467560586208588,0.010180275715800637,0.018678988032116345,0.012926101658001166,0.004779158874971378
slope_one,0.961076968524618,0.7555922486984452,0.0024390243902439024,0.003036576949620428,0.0035948452223991817,0.001492969639841326
simple_model,0.9761432020016427,0.7740131423661242,0.03340402969247084,0.05776355434361796,0.047378162779275965,0.019643842042531633
svd,0.9330778632440733,0.7342177059446346,0.03732767762460234,0.06501792657678129,0.05979813410683262,0.02783008934299143
bpr,2.2558055478543295,1.9002575611723374,0.07200424178154825,0.12667440960123888,0.1173794638378696,0.05720228643674586
fm,0.9592679825591615,0.759140909818899,0.03170731707317073,0.05498367250753253,0.03938364350724528,0.014059641736982292
